entry_type,obd_code,title_en,description_en,likely_causes_en,severity_en,recommended_action_en,estimated_cost_usd_min,estimated_cost_usd_max,title_ja,description_ja,likely_causes_ja,severity_ja,recommended_action_ja,estimated_cost_jpy_min,estimated_cost_jpy_max,embed_text
symptom,,Steering wheel vibrates at highway speed,Steering shakes above ~90–100 km/h; may worsen over bumps.,Unbalanced tires; Bent wheel; Worn suspension bushings; Warped brake rotor,Caution - inspect soon,Balance tires and check wheels/suspension before long highway trips,80,600,高速でステアリングが震える,約90〜100km/h以上でハンドルが震える。段差で悪化することも。,タイヤバランス不良; ホイール歪み; サスペンションブッシュ摩耗; ブレーキローター歪み,注意 - 早めに点検,タイヤバランスとホイール・足回りを確認してから長距離走行,10000,80000,steering wheel vibrates highway speed unbalanced tire bent wheel suspension 高速 ステアリング 振動 バランス
symptom,,Engine shakes at idle,Vehicle vibrates roughly when stopped in Drive or Park with engine running.,Fouled spark plugs; Vacuum leak; Dirty idle air control / throttle body; Worn engine mounts,Caution - inspect soon,Scan for misfires; clean throttle body and inspect plugs/mounts,80,450,アイドリング時にエンジンがガタつく,停車中やDレンジでエンジンが粗く振動する。,スパークプラグ汚れ; バキューム漏れ; スロットルボディ汚れ; エンジンマウント劣化,注意 - 早めに点検,失火診断とスロットル清掃、プラグ・マウント点検,10000,60000,engine shakes idle rough vibration misfire spark plug vacuum mount アイドリング 振動 ガタガタ 失火
symptom,,Whining noise when accelerating,High-pitched whine rises with engine or vehicle speed under load.,Low transmission fluid; Worn alternator bearing; Power steering pump; Differential wear,Caution - inspect soon,Check fluid levels and isolate noise source under load vs idle,100,1200,加速時にヒューという音,加速や負荷時に高音のうなりが回転に合わせて大きくなる。,ATF不足; オルタネーターベアリング摩耗; パワステポンプ; デフ摩耗,注意 - 早めに点検,フルード量確認と加速時・アイドル時の音源切り分け,15000,160000,whining noise accelerating transmission fluid alternator power steering 加速 ヒュー うなり ATF
symptom,,Car hard to start when cold,Cranks longer than normal on cold mornings; may start fine when warm.,Weak battery; Failing starter; Bad coolant temp sensor; Dirty fuel injectors,Caution - inspect soon,Load-test battery and starter; check cold-start fuel/sensor data,80,700,寒い朝にエンジンがかかりにくい,冷間時にクランキングが長く、暖機後は普通に始動する。,バッテリー劣化; セルモーター不良; 水温センサー不良; インジェクター汚れ,注意 - 早めに点検,バッテリーとセルの負荷試験、冷間始動データの確認,10000,90000,hard start cold morning battery starter coolant sensor injectors 冷間 かかりにくい バッテリー
symptom,,Burning rubber smell while driving,Hot rubber or friction smell appears after driving or hard stops.,Dragging brake caliper; Slipping accessory belt; Overheated clutch (manual); Tire rubbing fender liner,Stop if smell intensifies - inspect immediately,Check wheels for heat after short drive; inspect belts and tire clearance,50,800,走行中にゴムが焼ける臭い,走行後や急ブレーキ後にゴムや摩擦の焦げ臭いがする。,ブレーキ引きずり; ベルト滑り; クラッチ過熱; タイヤ干渉,臭いが強い場合は停止して点検,短距離走行後にホイール熱さを確認しベルトとタイヤ隙間を点検,8000,100000,burning rubber smell brake drag belt clutch tire rub ゴム 焦げ 臭い ブレーキ引きずり
symptom,,Headlights dim at idle then brighten,Lights are weak at idle and get brighter when revving the engine.,Failing alternator; Loose battery ground; Corroded terminals; Weak battery,Caution - charging system risk,Test charging voltage at idle and 2000 rpm; clean grounds,50,600,アイドリングでヘッドライトが暗い,アイドリングでは暗く、回転を上げると明るくなる。,オルタネーター不良; アース緩み; 端子腐食; バッテリー劣化,注意 - 充電系統リスク,アイドルと2000rpmで充電電圧を測定しアース清掃,8000,80000,headlights dim idle brighten alternator battery ground charging ヘッドライト 暗い オルタネーター 充電
symptom,,Power steering feels heavy,Steering is stiff especially at low speed or parking maneuvers.,Low power steering fluid; Failed pump; Electric assist motor fault; Low tire pressure,Caution - inspect soon,Check fluid/tire pressure; scan for EPS codes on electric systems,40,900,パワステが重い,低速や車庫入れでハンドルが極端に重い。,パワステフルード不足; ポンプ故障; 電動アシスト不良; タイヤ空気圧不足,注意 - 早めに点検,フルードと空気圧確認。電動式はEPSコード診断,5000,120000,power steering heavy stiff EPS pump fluid tire pressure パワステ 重い ハンドル
symptom,,Clicking noise when turning,Rhythmic click from a front corner when turning under power.,Worn CV joint (outer); Low CV boot grease; Damaged axle; Loose wheel bearing,Caution - inspect soon,Inspect CV boots for tears and play; avoid hard acceleration until fixed,150,700,曲がるときカチカチ音,駆動しながら曲がると前輪付近で周期的なカチカチ音。,CVジョイント摩耗; ブーツグリス不足; ドライブシャフト損傷; ハブベアリング緩み,注意 - 早めに点検,CVブーツ破れとガタを点検。修理まで急加速を避ける,20000,90000,clicking noise turning CV joint axle boot wheel bearing 曲がる カチカチ CVジョイント
symptom,,Musty smell from AC vents,Cabin smells moldy when AC or fan first turns on.,Dirty cabin filter; Mold in evaporator; Clogged drain tube; Stale condensate,Safe to drive - service recommended,Replace cabin filter and run AC dry-out / evaporator clean,30,250,エアコンからカビ臭い,ACやファン始動時にカビや湿った臭いがする。,エアコンフィルター汚れ; エバポレーターカビ; ドレン詰まり; 結露残り,走行可 - 整備推奨,フィルター交換とAC乾燥・エバポ洗浄,4000,35000,musty smell AC vents cabin filter mold evaporator エアコン カビ臭い フィルター
symptom,,Excessive oil consumption,Needs oil top-ups between changes; possible blue smoke on acceleration.,Worn piston rings; Valve stem seals; PCV valve stuck; Turbo oil seal (if equipped),Caution - monitor level weekly,Check for leaks/smoke; compression or leak-down test if consumption high,100,2500,オイル異常消費,交換と交換の間にオイル補充が必要。加速時に青白い煙も。,ピストンリング摩耗; バルブステムシール; PCV固着; ターボオイルシール,注意 - 週1で残量確認,漏れと煙を確認。消費が多い場合は圧縮/リークダウン試験,15000,350000,excessive oil consumption blue smoke rings valve seals PCV turbo オイル 消費 白煙 青煙
symptom,,Rattling heat shields under car,Metallic rattle over bumps or on cold start from underbody exhaust area.,Loose exhaust heat shield; Broken exhaust hanger; Loose catalytic shield; Debris on shield,Safe to drive - fix soon to avoid worse noise,Secure or replace loose heat shields and hangers,40,300,車体下のヒートシールドがカタカタ,段差や冷間始動時に床下から金属のカタカタ音。,排気ヒートシールド緩み; マフラーハンガー切れ; 触媒カバー緩み; 異物,走行可 - 早めに修理,シールドとハンガーの固定・交換,5000,40000,rattling heat shield exhaust hanger catalytic underbody ヒートシールド カタカタ 排気
symptom,,Wiper blades streak and chatter,Wipers leave streaks and skip/chatter across the windshield.,Worn blade rubber; Dirty glass wax residue; Bent wiper arm; Wrong blade type,Safe to drive - replace blades,Clean glass thoroughly and replace blades as a pair,15,80,ワイパーがビビって拭き残し,ガラスにスジが残り、ワイパーが跳ねる・ビビる。,ゴム劣化; ガラスのワックス残り; アーム曲がり; ブレード不適合,走行可 - ブレード交換,ガラス洗浄と左右セット交換,2000,10000,wiper blades streak chatter rubber glass wax ワイパー ビビり 拭き残し
symptom,,Door locks act intermittently,Key fob or interior switch locks only some doors or needs multiple presses.,Weak key fob battery; Faulty door lock actuator; Wiring in door boot; Body control module glitch,Safe to drive - security inconvenience,Replace fob battery first; then test each actuator,10,400,ドアロックがたまに効かない,リモコンやスイッチで一部ドアだけ動く、何度も押す必要がある。,リモコン電池切れ; アクチュエーター不良; ドアハーネス断線; BCM不具合,走行可 - 防犯上不便,まず電池交換、各ドアのアクチュエーター点検,1000,50000,door locks intermittent key fob actuator wiring BCM ドアロック たまに リモコン
symptom,,Fuel smell after refueling,Strong gasoline odor near rear or cabin after filling the tank.,Loose or damaged gas cap; EVAP purge valve stuck; Cracked EVAP hose; Filler neck seal,Caution - EVAP leak / fire risk if strong,Tighten/replace cap; smoke-test EVAP if code or smell persists,15,500,給油後にガソリン臭,給油後にリア付近や車内で強いガソリン臭。,フューエルキャップ緩み; パージバルブ固着; EVAPホース割れ; フィラーシール,注意 - EVAP漏れ・強い臭いは危険,キャップ締め直し/交換。改善しなければEVAPスモークテスト,2000,70000,fuel smell after refueling gas cap EVAP purge hose 給油 ガソリン臭 キャップ
obd_code,P0171,System Too Lean (Bank 1) - deep dive,ECM detects long-term fuel trim too lean on bank 1 (oxygen sensor lean bias).,Vacuum leak; MAF contamination; Weak fuel pump; Exhaust leak before O2,Caution - drivability and catalyst risk,Smoke-test intake; clean MAF; check fuel pressure and pre-cat O2 wiring,100,900,システムがリーンすぎる（バンク1）詳細,長期燃料補正がリーン側に寄りすぎているとECMが判定。,バキューム漏れ; MAF汚れ; 燃料ポンプ弱り; O2前の排気漏れ,注意 - 走行性と触媒リスク,インテークスモークテスト、MAF清掃、燃圧とO2配線確認,15000,120000,P0171 system too lean bank 1 vacuum MAF fuel pump exhaust O2 リーン 空燃比
obd_code,P0455,EVAP System Large Leak Detected,Large evaporative emissions leak detected during system monitor.,Loose gas cap; Disconnected EVAP hose; Purge valve open; Damaged charcoal canister,Safe to drive - emissions fail risk,Ensure cap clicks; inspect hoses; smoke-test EVAP system,20,600,EVAPシステム大きな漏れ検出,エバポ（燃料蒸発ガス）系の大きな漏れを検出。,フューエルキャップ緩み; EVAPホース外れ; パージバルブ開き固着; キャニスター損傷,走行可 - 車検/排ガス不合格リスク,キャップ確認、ホース点検、EVAPスモークテスト,3000,80000,P0455 EVAP large leak gas cap purge canister smoke test エバポ 漏れ
obd_code,P0128,Coolant Thermostat Below Regulating Temperature,Engine not reaching normal operating temperature quickly enough.,Stuck-open thermostat; Low coolant; Faulty ECT sensor; Extended idle in cold,Caution - efficiency and heater performance,Replace thermostat and coolant if overdue; verify ECT readings,80,350,クーラントサーモスタット温度不足,エンジンが規定温度までなかなか上がらない。,サーモスタット開き固着; クーラント不足; 水温センサー不良; 寒冷地長時間アイドル,注意 - 燃費とヒーター性能,サーモとクーラント交換、ECT値の妥当性確認,10000,45000,P0128 thermostat coolant temperature ECT heater サーモスタット 水温
obd_code,P0500,Vehicle Speed Sensor Malfunction,ECM/ABS not receiving plausible vehicle speed signal.,Failed VSS; Damaged tone ring; Wiring open/short; Cluster/ABS module issue,Caution - speedo and transmission shift risk,Scan live speed data; inspect sensor and harness at transmission/hub,80,500,車速センサー異常,車速信号が異常または欠落している。,VSS故障; トーンリング損傷; 配線断線/ショート; メーター/ABS異常,注意 - スピードメーターと変速に影響,ライブデータで車速確認、センサーとハーネス点検,10000,70000,P0500 vehicle speed sensor VSS tone ring ABS 車速センサー
